Date&Time,inner_temp,inner_hum,outer_temp,radiation,radiation_sum,release_cooling,meas_lee_vent_contr,status_swi_cool,vent_temp,meas_curtain_2,set_heat_temp,set_vent_temp,heat_temp,outer_hum,wind_speed,wind_dir,rainfall,solar_rad,pressure,hour,day,month,dayofweek,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,season,is_weekend,inner_temp_lag_1,inner_temp_lag_3,inner_temp_lag_6,inner_hum_lag_1,inner_hum_lag_3,inner_hum_lag_6
2025-04-15 16:00:00,21.078333333333333,70.0,11.777500000000002,496.21000000000004,2164.7625000000003,1.0,42.098333333333336,0.0,0.0,80.0,0.0,20.0,0.0,47.0,3.8,290.0,0.0,2.37,1008.0,16,15,4,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,21.925833333333333,22.50916666666667,22.338333333333335,70.0,70.0,70.0
2025-04-15 17:00:00,20.17833333333333,70.0,10.918333333333335,277.4558333333333,2297.4,1.0,34.84166666666667,0.0,0.0,80.0,0.0,19.335833333333333,0.0,45.0,3.5,270.0,0.0,1.68,1008.2,17,15,4,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,21.078333333333333,22.411666666666665,22.97583333333333,70.0,70.0,70.0
2025-04-15 18:00:00,18.830833333333334,70.0,9.828333333333333,73.695,2352.5175,1.0,9.969166666666666,0.0,0.0,64.3275,0.0,19.0,0.0,48.0,3.0,270.0,0.0,0.93,1008.2,18,15,4,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,20.17833333333333,21.925833333333333,22.372500000000002,70.0,70.0,70.0
2025-04-15 19:00:00,17.383333333333333,70.0,8.584166666666667,1.2858333333333334,2359.0,0.08333333333333333,0.0,0.0,0.0,100.0,0.0,19.0,0.0,65.0,2.5,290.0,0.0,0.23,1008.9,19,15,4,1,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,18.830833333333334,21.078333333333333,22.50916666666667,70.0,70.0,70.0
2025-04-15 20:00:00,16.291666666666668,70.0,7.959166666666666,0.0,2359.0,0.0,0.0,0.0,0.0,100.0,0.0,18.335833333333333,0.0,72.0,3.0,290.0,0.0,0.0,1009.7,20,15,4,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,17.383333333333333,20.17833333333333,22.411666666666665,70.0,70.0,70.0
2025-04-15 21:00:00,15.475,70.0,6.795000000000001,0.0,2359.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,79.0,0.6,270.0,0.0,0.0,1011.1,21,15,4,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,16.291666666666668,18.830833333333334,21.925833333333333,70.0,70.0,70.0
2025-04-15 22:00:00,14.816666666666668,70.0,6.3741666666666665,0.08333333333333333,2359.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,79.0,0.5,180.0,0.0,0.0,1011.0,22,15,4,1,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,15.475,17.383333333333333,21.078333333333333,70.0,70.0,70.0
2025-04-15 23:00:00,14.275,70.0,6.256666666666667,0.0,2359.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,83.0,0.8,160.0,0.0,0.0,1011.2,23,15,4,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0.10116832198743272,-0.994869323391895,1,0,14.816666666666668,16.291666666666668,20.17833333333333,70.0,70.0,70.0
2025-04-16 00:00:00,13.866666666666667,70.0,6.285,0.08333333333333333,2359.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,84.0,1.5,110.0,0.0,0.0,1011.0,0,16,4,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,14.275,15.475,18.830833333333334,70.0,70.0,70.0
2025-04-16 01:00:00,13.558333333333332,70.0,5.120833333333334,0.0,2359.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,84.0,0.8,160.0,0.0,0.0,1010.9,1,16,4,2,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1,0,13.866666666666667,14.816666666666668,17.383333333333333,70.0,70.0,70.0
